author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
CROCUS ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307334344/,Москва,rent,flat,3,6,3,110.0,750000,0,Замоскворечье,Садовническая набережная,7,Новокузнецкая
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/304239996/,Москва,rent,flat,6,6,2,165.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305209775/,Москва,rent,flat,6,6,2,130.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/303773323/,Москва,rent,flat,4,14,4,266.0,550000,0,Хамовники,2-я Фрунзенская ,12,Фрунзенская
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306977655/,Москва,rent,flat,9,34,3,84.0,380000,0,Дорогомилово,Поклонная ,9,Поклонная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304774632/,Москва,rent,flat,1,3,5,230.0,800000,0,Хорошевский,проезд Аэропорта,8,Аэропорт
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/300466117/,Москва,rent,flat,6,6,4,350.0,750000,0,Якиманка, Большая Полянка,61С2,Добрынинская
BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/306253024/,Москва,rent,flat,5,7,4,102.0,300000,0,Красносельский,переулок Даев,8,Сухаревская
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/281836793/,Москва,rent,flat,7,12,3,110.0,300000,0,Якиманка, Серафимовича,2,Боровицкая
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304242701/,Москва,rent,flat,2,6,5,183.0,450000,0,Пресненский,переулок Брюсов,6,Охотный ряд
Life Style,real_estate_agent,https://www.cian.ru/rent/flat/306835109/,Москва,rent,flat,6,13,3,95.0,430000,0,Тверской, Фадеева,4А,Новослободская
МЕЗОН,real_estate_agent,https://www.cian.ru/rent/flat/305008371/,Москва,rent,flat,1,12,2,95.0,300000,0,Пресненский, Спиридоновка,18,Пушкинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303214797/,Москва,rent,flat,4,7,4,150.0,550000,0,Пресненский,Хлыновский тупик,4,Арбатская
Urban Heights Moscow City,real_estate_agent,https://www.cian.ru/rent/flat/304647020/,Москва,rent,flat,39,78,3,120.0,320000,0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити
Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/301763924/,Москва,rent,flat,5,6,3,190.0,1388772,0,Хамовники,1-й Зачатьевский переулок,8С9,Кропоткинская
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/301135622/,Москва,rent,flat,23,53,4,177.0,1800000,0,Раменки,Мосфильмовская ,8,Ломоносовский проспект
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306325941/,Москва,rent,flat,9,14,5,150.0,340000,0,Мещанский, Гиляровского,50,Проспект Мира
Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/303920048/,Москва,rent,flat,2,5,2,85.0,750000,0,Хамовники,Пречистенская набережная,43,Кропоткинская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304595243/,Москва,rent,flat,3,15,3,150.0,484000,0,Хамовники,Саввинская набережная,9,Киевская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304924335/,Москва,rent,flat,3,9,4,135.0,350000,0,Тверской,1-я Тверская-Ямская ,28,Белорусская
Kalinka Group,real_estate_agent,https://www.cian.ru/rent/flat/201493083/,Москва,rent,flat,4,4,-1,600.0,3000000,0,Хамовники, Пречистенка,27,Парк Культуры
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303478823/,Москва,rent,flat,10,14,2,133.0,550000,0,Арбат, Новый Арбат,32,Смоленская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/304862030/,Москва,rent,flat,3,6,3,145.0,1400000,0,Хамовники,Курсовой переулок,10/1,Кропоткинская
Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307395361/,Москва,rent,flat,8,15,4,150.0,1200000,0,Хамовники,Трубецкая ,12,Фрунзенская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306286900/,Москва,rent,flat,2,8,5,318.0,1900000,0,Хамовники,переулок Хилков,1,Парк Культуры
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305156115/,Москва,rent,flat,14,16,3,178.0,670000,0,Арбат, Новый Арбат,27,Смоленская
ID 114238856,realtor,https://www.cian.ru/rent/flat/307371198/,Москва,rent,flat,15,21,3,157.0,790000,0,Пресненский,2-я Звенигородская ,16,Улица 1905 года
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306318868/,Москва,rent,flat,2,7,4,320.0,1900000,0,Хамовники,переулок Хилков,1,Кропоткинская
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/306331374/,Москва,rent,flat,14,16,3,178.0,670000,0,Арбат, Новый Арбат,27,Смоленская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305773252/,Москва,rent,flat,6,8,3,104.0,450000,0,Хамовники,Оболенский переулок,9К1,Фрунзенская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/297532435/,Москва,rent,flat,6,8,3,140.0,400000,0,Тверской,Тверская ,9,Охотный ряд
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/302197114/,Москва,rent,flat,5,7,-1,224.0,480000,0,Тверской,3-я Тверская-Ямская ,25,Маяковская
ID 91109179,real_estate_agent,https://www.cian.ru/rent/flat/291744024/,Москва,rent,flat,29,75,2,105.0,300000,0,Пресненский,набережная Пресненская,8с1,Деловой центр
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/298688609/,Москва,rent,flat,6,8,3,140.0,400000,0,Тверской,Тверская ,9,Охотный ряд
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/303231600/,Москва,rent,flat,5,9,-1,224.0,480000,0,Тверской,3-я Тверская-Ямская ,25,Маяковская
AGORA,real_estate_agent,https://www.cian.ru/rent/flat/305979370/,Москва,rent,flat,8,13,3,125.0,580000,0,Пресненский, Сергея Макеева,9к1,Улица 1905 года
Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307564449/,Москва,rent,flat,2,5,-1,360.0,550000,0,Басманный,Мясницкая ,24/7С1,Тургеневская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/303661107/,Москва,rent,flat,5,8,4,150.0,350000,0,Тверской,Тверская ,28к1,Маяковская
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/294222832/,Москва,rent,flat,4,5,-1,700.0,3000000,0,Хамовники, Пречистенка,27,Парк Культуры
Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/305607091/,Москва,rent,flat,3,6,4,150.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305890606/,Москва,rent,flat,3,6,4,135.0,420000,0,Тверской,Петровский бульвар,21,Трубная
Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307389600/,Москва,rent,flat,6,8,2,51.0,300000,0,Якиманка,Софийская набережная,34,Новокузнецкая
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/296324199/,Москва,rent,flat,6,6,2,130.0,580000,0,Беговой, 3-я Ямского Поля,9,Белорусская
Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305910646/,Москва,rent,flat,3,12,-1,330.0,900000,0,Войковский,Ленинградское шоссе,37к1,Водный стадион
Ашихмин и партнёры,real_estate_agent,https://www.cian.ru/rent/flat/292040154/,Москва,rent,flat,2,5,5,286.8,1964168,0,Хамовники,1-й Зачатьевский переулок,8С3,Кропоткинская
